method,variant,seed,perm,bary_file,nobary_file,n_samples_bary,n_samples_nobary,n_dim,fom3_bary,fom3_nobary,fom3_ratio_bary_over_nobary,fom3_bary_valid,fom3_nobary_valid,logdet_cov3_bary,logdet_cov3_nobary,d_truth,d_shift,d_truth_valid,d_shift_valid,delta_truth_om,delta_truth_s8,delta_truth_w0,delta_shift_om,delta_shift_s8,delta_shift_w0,norm_truth_om,norm_truth_s8,norm_truth_w0,norm_shift_om,norm_shift_s8,norm_shift_w0
cnn,tomo4_20deg160,41,0,cnn_tomo4_20deg160_bary_perm0000_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,445249.15730827657,446954.9378004987,0.9961835515217342,True,True,-26.012778617048248,-26.02042611644859,2.508340130652551,1.1733037818341232,True,True,0.016169151067733756,-0.03532591104507443,0.07412415742874146,-0.002368330955505371,-0.014584064483642578,-0.010210394859313965,1.3383345159063813,-2.3934971593909213,1.4698489860163926,-0.19602878651851371,-0.9881391839953604,-0.20246757671703944
cnn,tomo4_20deg160,41,1,cnn_tomo4_20deg160_bary_perm0001_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,427314.68856366334,446954.9378004987,0.9560576524034244,True,True,-25.930551992673113,-26.02042611644859,1.376091080717422,1.025764585749824,True,True,0.007363458871841422,-0.019906904697418182,0.03508424758911133,-0.011174023151397705,0.0008349418640136719,-0.04925030469894409,0.6094798127223923,-1.3487867244171117,0.695704983811496,-0.9248834897025029,0.056571250978449436,-0.9766115789219362
cnn,tomo4_20deg160,41,2,cnn_tomo4_20deg160_bary_perm0002_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,420314.12952829665,446954.9378004987,0.9403948675378695,True,True,-25.897515276299053,-26.02042611644859,0.9891087702627781,1.1370753723602216,True,True,0.006000092029571524,-0.010763492584228485,0.034531235694885254,-0.012537389993667603,0.00997835397720337,-0.049803316593170166,0.49663276866865436,-0.7292774103576369,0.6847390045655988,-1.0377305337562408,0.6760805650379241,-0.9875775581678334
cnn,tomo4_20deg160,41,3,cnn_tomo4_20deg160_bary_perm0003_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,469117.714032109,446954.9378004987,1.0495861536750777,True,True,-26.117218010686653,-26.02042611644859,2.9424967808330904,1.2139139610385314,True,True,0.032582720518112174,-0.026965882778167694,0.13709765672683716,0.014045238494873047,-0.00622403621673584,0.05276310443878174,2.6968997511897457,-1.8270657973310014,2.71858539395726,1.1625364487648506,-0.42170782193544026,1.0462688312238282
cnn,tomo4_20deg160,41,4,cnn_tomo4_20deg160_bary_perm0004_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,381156.8785334603,446954.9378004987,0.8527859215722374,True,True,-25.70193264808428,-26.02042611644859,0.9131379710404842,2.3855796047646365,True,True,0.001402040719985953,0.011924240589141877,0.005118370056152344,-0.017135441303253174,0.03266608715057373,-0.07921618223190308,0.11604811411576652,0.807923564705474,0.10149499566756728,-1.4183151883091285,2.2132815401010353,-1.570821567065865
cnn,tomo4_20deg160,41,5,cnn_tomo4_20deg160_bary_perm0005_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,425770.1394017236,446954.9378004987,0.9526019367790695,True,True,-25.9233098015145,-26.02042611644859,1.5641433467727035,0.44728779391561985,True,True,0.015727391242980948,-0.01474377155303952,0.07312923669815063,-0.0028100907802581787,0.005998075008392334,-0.011205315589904785,1.3017696759385462,-0.9989600915283178,1.4501201516153885,-0.23259362648634893,0.4063978838672434,-0.22219641111804364
cnn,tomo4_20deg160,41,6,cnn_tomo4_20deg160_bary_perm0006_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,428911.47222234664,446954.9378004987,0.9596302355066365,True,True,-25.9380116363185,-26.02042611644859,2.595288764319747,2.1479637666049407,True,True,0.000788857936859122,-0.03721180200576779,0.01660478115081787,-0.017748624086380005,-0.016469955444335938,-0.06772977113723755,0.06529444870807512,-2.5212751705958145,0.32926540528999243,-1.46906885371682,-1.1159171952002533,-1.3430511574434396
cnn,tomo4_20deg160,41,7,cnn_tomo4_20deg160_bary_perm0007_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,435074.05224781705,446954.9378004987,0.9734181579665537,True,True,-25.966543061269864,-26.02042611644859,2.908025211794427,2.500001512879292,True,True,-0.0005277192592620938,-0.04124804973602292,0.00890272855758667,-0.01906520128250122,-0.020506203174591064,-0.07543182373046875,-0.04367977616267009,-2.7947499994441625,0.17653713710982452,-1.5780430785875652,-1.3893920240486015,-1.4957794256236077
cnn,tomo4_20deg160,41,8,cnn_tomo4_20deg160_bary_perm0008_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,408384.6026206556,446954.9378004987,0.9137041971845064,True,True,-25.83992932569904,-26.02042611644859,1.7037549414307935,2.70872042780154,True,True,-0.012023339271545419,-0.0143555665016174,-0.049620985984802246,-0.030560821294784546,0.006386280059814453,-0.13395553827285767,-0.9951821141477682,-0.9726573675404079,-0.9839620235145461,-2.529545416572663,0.43270060785515324,-2.656278586247978
cnn,tomo4_20deg160,41,9,cnn_tomo4_20deg160_bary_perm0009_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,413231.86541612254,446954.9378004987,0.9245492788370789,True,True,-25.863528263759584,-26.02042611644859,1.9073568484688022,2.3726983547457974,True,True,-0.008558759689331064,-0.022530760765075653,-0.0249021053314209,-0.02709624171257019,-0.0017889142036437988,-0.10923665761947632,-0.7084158876119266,-1.5265653537233883,-0.49379764358535494,-2.242779190036822,-0.12120737832782717,-2.1661142063187873
