arm,n_perms,fom3,fom3_std,fom2d_Om_s8,fom2d_Om_w0,fom2d_s8_w0,sig_Omega_m,sig_sigma_8,sig_w_0,sig_h_0,sig_n_s,sig_Omega_b,sig_std_Omega_m,sig_std_sigma_8,sig_std_w_0,sig_std_h_0,sig_std_n_s,sig_std_Omega_b
L1 auto+cross,3,25807.6,6967.6,1930.9,296.5,178.8,0.02959,0.04437,0.12837,0.04131,0.04212,0.00551,0.00388,0.00242,0.01149,0.00251,0.00245,0.00011
L1 auto-only,3,8773.9,1263.4,983.4,189.0,117.9,0.03859,0.05006,0.18299,0.05010,0.04948,0.00643,0.00427,0.00167,0.03043,0.00139,0.00286,0.00088
CNN-RealNVP auto+cross,1,26748.4,0.0,2189.7,358.0,197.0,0.02683,0.03778,0.15078,0.04156,0.03854,0.00761,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
CNN-RealNVP auto-only,1,9125.4,0.0,1140.1,188.6,117.2,0.03514,0.04202,0.21626,0.05123,0.05448,0.00779,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
CNN-MAF auto+cross,1,11984.2,0.0,1465.6,200.7,129.0,0.03464,0.04156,0.21256,0.04686,0.05207,0.00809,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
CNN-MAF auto-only,1,6679.4,0.0,855.2,153.6,88.8,0.04328,0.05901,0.21654,0.04960,0.05459,0.00666,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
CNN-RealNVP auto+cross (std),1,24280.8,0.0,2187.3,371.5,199.9,0.02566,0.03848,0.14464,0.04040,0.03564,0.00635,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
CNN-auto native-TFDS (RealNVP),1,14968.6,0.0,1586.8,282.9,178.9,0.02979,0.03970,0.14844,0.04864,0.04995,0.00827,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
CNN auto+cross multi-perm,3,28093.2,3440.3,2316.4,414.9,209.6,0.02505,0.03852,0.14286,0.04101,0.03558,0.00715,0.00263,0.00385,0.02909,0.00584,0.00485,0.00044
CNN auto-only multi-perm,3,9803.7,1520.9,1171.2,210.6,130.5,0.03474,0.04223,0.19874,0.05047,0.05285,0.00778,0.00385,0.00114,0.03711,0.00207,0.00313,0.00001
