method,variant,seed,perm,bary_file,nobary_file,n_samples_bary,n_samples_nobary,n_dim,fom3_bary,fom3_nobary,fom3_ratio_bary_over_nobary,fom3_bary_valid,fom3_nobary_valid,logdet_cov3_bary,logdet_cov3_nobary,d_truth,d_shift,d_truth_valid,d_shift_valid,delta_truth_om,delta_truth_s8,delta_truth_w0,delta_shift_om,delta_shift_s8,delta_shift_w0,norm_truth_om,norm_truth_s8,norm_truth_w0,norm_shift_om,norm_shift_s8,norm_shift_w0
cnn,tomo4_20deg160,41,0,cnn_tomo4_20deg160_bary_perm0000_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,427737.75198190735,416350.8423099233,1.0273493134031126,True,True,-25.93253111550912,-25.878567109486553,2.3869299759135534,1.3533228862757953,True,True,0.011996140480041495,-0.034645285606384246,0.04921811819076538,-0.0008553564548492432,-0.01864546537399292,-0.005146026611328125,0.9162393740428427,-2.1719656709129214,0.8802142404550763,-0.06533028385908538,-1.1689125952261035,-0.09203126961285711
cnn,tomo4_20deg160,41,1,cnn_tomo4_20deg160_bary_perm0001_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,429596.07573026157,416350.8423099233,1.031812673529981,True,True,-25.94120137485795,-25.878567109486553,1.9757944556431097,1.2971965996086672,True,True,0.003852447271347037,-0.029216256141662567,0.01573646068572998,-0.008999049663543701,-0.01321643590927124,-0.038627684116363525,0.29424162565490874,-1.8316115529610884,0.2814300363182086,-0.6873280322470193,-0.8285584772742706,-0.6908154737497249
cnn,tomo4_20deg160,41,2,cnn_tomo4_20deg160_bary_perm0002_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,419948.6296421457,416350.8423099233,1.0086412394706872,True,True,-25.895775344806367,-25.878567109486553,1.3273479015531862,0.607044558545461,True,True,0.006842842102050772,-0.020578649044036834,0.032239317893981934,-0.006008654832839966,-0.004578828811645508,-0.022124826908111572,0.5226415424767785,-1.2901068210324307,0.5765662677888694,-0.45892811542514955,-0.28705374534561284,-0.39567924227906404
cnn,tomo4_20deg160,41,3,cnn_tomo4_20deg160_bary_perm0003_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,408539.40830477607,416350.8423099233,0.9812383374516327,True,True,-25.840687318775032,-25.878567109486553,3.138432029382295,1.9098901265212853,True,True,0.03598131775856017,-0.028728153705596893,0.14606225490570068,0.023129820823669434,-0.012728333473205566,0.09169811010360718,2.748175558229688,-1.8010116685477167,2.6121696945556825,1.7666059003277599,-0.7979585928608988,1.639924184487749
cnn,tomo4_20deg160,41,4,cnn_tomo4_20deg160_bary_perm0004_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,418500.23054867965,416350.8423099233,1.005162444794951,True,True,-25.888865439608836,-25.878567109486553,0.6870729126971081,0.7639735139543191,True,True,0.0047379934787750155,-0.007556166648864715,0.016722500324249268,-0.008113503456115723,0.008443653583526611,-0.03764164447784424,0.36187773779695476,-0.47370758467660096,0.29906431742001427,-0.6196919201049733,0.5293454910102169,-0.6731811926479192
cnn,tomo4_20deg160,41,5,cnn_tomo4_20deg160_bary_perm0005_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,415162.6664553757,416350.8423099233,0.9971462148414169,True,True,-25.872851379552095,-25.878567109486553,1.5894094623374246,0.4618014324333347,True,True,0.016585578918457022,-0.018968667984008758,0.07448172569274902,0.003734081983566284,-0.0029688477516174316,0.020117580890655518,1.2667707977968483,-1.1891746586329208,1.3320272700049551,0.28520113989492013,-0.18612158294610295,0.3597817599370216
cnn,tomo4_20deg160,41,6,cnn_tomo4_20deg160_bary_perm0006_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,427217.4965094927,416350.8423099233,1.0260997531295504,True,True,-25.9300970440765,-25.878567109486553,1.8360769957290868,1.3488378750228451,True,True,0.001552274227142325,-0.02901604413986203,0.014831483364105225,-0.011299222707748413,-0.013016223907470703,-0.03953266143798828,0.11855936237042147,-1.819059957925734,0.2652454694338034,-0.8630102955315067,-0.8160068822389163,-0.7070000406341301
cnn,tomo4_20deg160,41,7,cnn_tomo4_20deg160_bary_perm0007_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,435104.9800210271,416350.8423099233,1.045044072943519,True,True,-25.966685228672553,-25.878567109486553,2.9269030300644205,2.1607161283801553,True,True,0.0043468379974365146,-0.04603024959564206,0.026436150074005127,-0.008504658937454224,-0.030030429363250732,-0.02792799472808838,0.3320021245552386,-2.885706386754822,0.4727827193180418,-0.6495675333466895,-1.8826533110680042,-0.49946279074989175
cnn,tomo4_20deg160,41,8,cnn_tomo4_20deg160_bary_perm0008_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,430612.78763090493,416350.8423099233,1.034254633044228,True,True,-25.945929121419923,-25.878567109486553,2.2994372844109843,2.2104426258882626,True,True,-0.010585392117500314,-0.028757836818695037,-0.04399120807647705,-0.023436889052391052,-0.012758016586303711,-0.09835535287857056,-0.8084894524095287,-1.8028725480736487,-0.7867364545238278,-1.790059110311457,-0.7998194723868309,-1.7589819645917613
cnn,tomo4_20deg160,41,9,cnn_tomo4_20deg160_bary_perm0009_s41.npy,cnn_tomo4_20deg160_nobnt_s41.npy,100000,100000,6,426311.5882297531,416350.8423099233,1.023923924026591,True,True,-25.925851571315906,-25.878567109486553,2.312394730343555,2.25963909247085,True,True,-0.011091524958610544,-0.03086235761642453,-0.037897467613220215,-0.023943021893501282,-0.014862537384033203,-0.09226161241531372,-0.8471467887664099,-1.93480815912107,-0.6777563201634212,-1.828716446668338,-0.9317550834342522,-1.6500018302313546
