method,variant,seed,file,n_samples,n_dim,fom3,det_cov3,logdet_cov3,valid_fom
cnn,bin1_20deg160,41,cnn_bin1_20deg160_nobnt_s41.npy,100000,6,5934.522574454606,2.8394120926203053e-08,-17.37708372284944,True
cnn,bin1_20deg160,42,cnn_bin1_20deg160_nobnt_s42.npy,100000,6,6127.399432581905,2.663468813221004e-08,-17.441051405592496,True
cnn,bin1_20deg160,43,cnn_bin1_20deg160_nobnt_s43.npy,100000,6,5941.135023465364,2.8330951113986195e-08,-17.379310950988884,True
cnn,bin2_20deg160,41,cnn_bin2_20deg160_nobnt_s41.npy,100000,6,17133.277580008966,3.4065839656230012e-09,-19.497555817369545,True
cnn,bin2_20deg160,42,cnn_bin2_20deg160_nobnt_s42.npy,100000,6,15762.598363817347,4.024800706376235e-09,-19.330790441245533,True
cnn,bin2_20deg160,43,cnn_bin2_20deg160_nobnt_s43.npy,100000,6,17569.589050501134,3.2394911133061612e-09,-19.547849583272377,True
cnn,bin3_20deg160,41,cnn_bin3_20deg160_nobnt_s41.npy,100000,6,38924.0005463701,6.600321038081898e-10,-21.138732639957446,True
cnn,bin3_20deg160,42,cnn_bin3_20deg160_nobnt_s42.npy,100000,6,38942.54478034087,6.594036458803031e-10,-21.139685256218694,True
cnn,bin3_20deg160,43,cnn_bin3_20deg160_nobnt_s43.npy,100000,6,33958.77115250192,8.671536719364509e-10,-20.86580490925271,True
cnn,bin4_20deg160,41,cnn_bin4_20deg160_nobnt_s41.npy,100000,6,54422.420145664095,3.376325419093322e-10,-21.80906296594062,True
cnn,bin4_20deg160,42,cnn_bin4_20deg160_nobnt_s42.npy,100000,6,52321.93280430031,3.652855078404441e-10,-21.73034185485392,True
cnn,bin4_20deg160,43,cnn_bin4_20deg160_nobnt_s43.npy,100000,6,51559.2961686888,3.761716305445167e-10,-21.70097561247261,True
cnn,tomo4_20deg160,41,cnn_tomo4_20deg160_nobnt_s41.npy,100000,6,416350.8423099233,5.768741849759825e-12,-25.878567109486553,True
cnn,tomo4_20deg160,42,cnn_tomo4_20deg160_nobnt_s42.npy,100000,6,420408.67713118426,5.6579181131939055e-12,-25.897965115901535,True
cnn,tomo4_20deg160,43,cnn_tomo4_20deg160_nobnt_s43.npy,100000,6,325664.13618296146,9.428880489328776e-12,-25.387243744323428,True
l1,bin1_20deg160,41,l1_bin1_20deg160_nobnt_s41.npy,100000,6,595.4775379709807,2.820130670746434e-06,-12.778727336943659,True
l1,bin1_20deg160,42,l1_bin1_20deg160_nobnt_s42.npy,100000,6,575.7697198033462,3.0164932477721015e-06,-12.711415577499361,True
l1,bin1_20deg160,43,l1_bin1_20deg160_nobnt_s43.npy,100000,6,533.1874294093734,3.517549327681083e-06,-12.557746024550557,True
l1,bin2_20deg160,41,l1_bin2_20deg160_nobnt_s41.npy,100000,6,1726.3704873533002,3.3553049217320836e-07,-14.907552998902364,True
l1,bin2_20deg160,42,l1_bin2_20deg160_nobnt_s42.npy,100000,6,1580.8322174321743,4.001551802314701e-07,-14.731413414493122,True
l1,bin2_20deg160,43,l1_bin2_20deg160_nobnt_s43.npy,100000,6,1528.8315795508374,4.2783933460087434e-07,-14.6645180982863,True
l1,bin3_20deg160,41,l1_bin3_20deg160_nobnt_s41.npy,100000,6,3474.6504371022743,8.282811180709734e-08,-16.30649831859876,True
l1,bin3_20deg160,42,l1_bin3_20deg160_nobnt_s42.npy,100000,6,4354.816703417291,5.273029972541976e-08,-16.75807559926658,True
l1,bin3_20deg160,43,l1_bin3_20deg160_nobnt_s43.npy,100000,6,4140.927270549919,5.831829177265689e-08,-16.65735004026729,True
l1,bin4_20deg160,41,l1_bin4_20deg160_nobnt_s41.npy,100000,6,4247.800643527077,5.542066686456989e-08,-16.708313264661385,True
l1,bin4_20deg160,42,l1_bin4_20deg160_nobnt_s42.npy,100000,6,5114.302433037779,3.8232014946987486e-08,-17.079592584715737,True
l1,bin4_20deg160,43,l1_bin4_20deg160_nobnt_s43.npy,100000,6,4561.755322658381,4.805471712197637e-08,-16.850925535235646,True
l1,tomo4_20deg160,41,l1_tomo4_20deg160_nobnt_s41.npy,100000,6,9793.2489447912,1.0426688789650786e-08,-18.378897088170085,True
l1,tomo4_20deg160,42,l1_tomo4_20deg160_nobnt_s42.npy,100000,6,11677.785793849633,7.332954505485567e-09,-18.73088733193342,True
l1,tomo4_20deg160,43,l1_tomo4_20deg160_nobnt_s43.npy,100000,6,7483.185997874885,1.7857757457762468e-08,-17.840827831657,True
l1vmim,bin1_20deg160,41,l1vmim_bin1_20deg160_nobnt_s41.npy,100000,6,425.9092687252859,5.512718511270739e-06,-12.108452678744136,True
l1vmim,bin1_20deg160,42,l1vmim_bin1_20deg160_nobnt_s42.npy,100000,6,398.33299949680253,6.3024212359861344e-06,-11.974576675227619,True
l1vmim,bin1_20deg160,43,l1vmim_bin1_20deg160_nobnt_s43.npy,100000,6,405.848781930677,6.071157592880058e-06,-12.011961263846175,True
l1vmim,bin2_20deg160,41,l1vmim_bin2_20deg160_nobnt_s41.npy,100000,6,1200.9422228444666,6.933551918110432e-07,-14.181723426765569,True
l1vmim,bin2_20deg160,42,l1vmim_bin2_20deg160_nobnt_s42.npy,100000,6,1239.8118304425577,6.505616339646465e-07,-14.245429794881684,True
l1vmim,bin2_20deg160,43,l1vmim_bin2_20deg160_nobnt_s43.npy,100000,6,1281.4509710279876,6.089701580206031e-07,-14.311496572045337,True
l1vmim,bin3_20deg160,41,l1vmim_bin3_20deg160_nobnt_s41.npy,100000,6,3165.7237441293764,9.97824062613941e-08,-16.120273959135886,True
l1vmim,bin3_20deg160,42,l1vmim_bin3_20deg160_nobnt_s42.npy,100000,6,3414.7308083316807,8.576045061359088e-08,-16.271707885281486,True
l1vmim,bin3_20deg160,43,l1vmim_bin3_20deg160_nobnt_s43.npy,100000,6,4160.999734440395,5.775699956365841e-08,-16.667021290323675,True
l1vmim,bin4_20deg160,41,l1vmim_bin4_20deg160_nobnt_s41.npy,100000,6,4267.033651267845,5.492219228173023e-08,-16.717348339113357,True
l1vmim,bin4_20deg160,42,l1vmim_bin4_20deg160_nobnt_s42.npy,100000,6,5050.689636483638,3.9201134499646516e-08,-17.054560149251273,True
l1vmim,bin4_20deg160,43,l1vmim_bin4_20deg160_nobnt_s43.npy,100000,6,4740.325068232226,4.450243259256078e-08,-16.927721984266928,True
l1vmim,tomo4_20deg160,41,l1vmim_tomo4_20deg160_nobnt_s41.npy,100000,6,9482.538592190436,1.1121177240507894e-08,-18.314414686775336,True
l1vmim,tomo4_20deg160,42,l1vmim_tomo4_20deg160_nobnt_s42.npy,100000,6,11438.88943095288,7.642444188161137e-09,-18.689548365015067,True
l1vmim,tomo4_20deg160,43,l1vmim_tomo4_20deg160_nobnt_s43.npy,100000,6,11031.380757549297,8.217510169557913e-09,-18.61699857284206,True
