method,variant,fom3_mean,fom3_std,n_valid,n_total
cnn,bin1_20deg160,6001.019010167292,109.49858217233704,3,3
cnn,bin2_20deg160,16821.821664775816,942.8984175354071,3,3
cnn,bin3_20deg160,37275.105493070965,2872.044753478178,3,3
cnn,bin4_20deg160,52767.88303955107,1482.7418642915766,3,3
cnn,tomo4_20deg160,387474.5518746897,53567.8273019108,3,3
l1,bin1_20deg160,568.1448957279001,31.83736582681321,3,3
l1,bin2_20deg160,1612.011428112104,102.3939080605631,3,3
l1,bin3_20deg160,3990.131470356495,459.05086222194444,3,3
l1,bin4_20deg160,4641.286133074413,438.69146351437627,3,3
l1,tomo4_20deg160,9651.406912171906,2100.8941510130935,3,3
l1vmim,bin1_20deg160,410.03035005092187,14.25576339936364,3,3
l1vmim,bin2_20deg160,1240.735008105004,40.26231272873838,3,3
l1vmim,bin3_20deg160,3580.484762300484,517.9279430235576,3,3
l1vmim,bin4_20deg160,4686.016118661236,394.64068758018624,3,3
l1vmim,tomo4_20deg160,10650.93626023087,1032.1727872485944,3,3
